"species","lon","lat"
"puya_raimondii",-70.643067,-16.087139
"puya_raimondii",-74.817874,-13.442265
"puya_raimondii",-74.89424,-13.472661
"puya_raimondii",-74.955306,-13.411286
"puya_raimondii",-74.054209,-13.505801
"puya_raimondii",-74.999903,-13.483807
"puya_raimondii",-72.18151,-13.165196
"puya_raimondii",-73.976362,-13.53164
"puya_raimondii",-76.550197,-11.240781
"puya_raimondii",-70.242789,-15.326079
"puya_raimondii",-70.465326,-16.084373
"puya_raimondii",-74.908762,-13.410196
"puya_raimondii",-77.230916,-9.878008
"puya_raimondii",-75.10994,-12.658944
"puya_raimondii",-70.705852,-16.121367
"puya_raimondii",-74.297198,-13.199768
"puya_raimondii",-70.202243,-14.595592
"puya_raimondii",-70.629351,-14.765985
"puya_raimondii",-77.094614,-9.86192
"puya_raimondii",-75.476312,-12.323522
"puya_raimondii",-70.580002,-16.17
"puya_raimondii",-77.298861,-9.919569
"puya_raimondii",-74.83165,-13.552556
"puya_raimondii",-77.30582,-9.844113
"puya_raimondii",-77.272619,-9.643276
"puya_raimondii",-70.232784,-15.359825
"puya_raimondii",-70.757266,-16.197914
"puya_raimondii",-77.930192,-9.117143
"puya_raimondii",-72.025597,-14.093112
"puya_raimondii",-77.241066,-9.958215
"puya_raimondii",-77.350895,-9.576863
"puya_raimondii",-77.361154,-9.834194
"puya_raimondii",-77.012695,-9.947107
"puya_raimondii",-71.820311,-14.467086
"puya_raimondii",-77.425889,-9.381954
"puya_raimondii",-77.335506,-9.947836
"puya_raimondii",-77.137266,-9.978393
"puya_raimondii",-70.776643,-16.366151
"puya_raimondii",-70.660556,-16.1975
"puya_raimondii",-70.577971,-16.16047
"puya_raimondii",-70.467666,-15.261179
"puya_raimondii",-74.373588,-13.302267
"puya_raimondii",-71.564369,-15.587841
"puya_raimondii",-70.258365,-14.575329
"puya_raimondii",-77.758643,-9.115353
"puya_raimondii",-77.398682,-9.359643
"puya_raimondii",-77.63119,-9.049224
"puya_raimondii",-74.14,-9.1839
"puya_raimondii",-77.28333,-9.88333
"puya_raimondii",-77.333333,-9.666667
