"X","species","long","lat"
214,"Lagothrix.flavicauda",-77.61006081,-5.623244069
215,"Lagothrix.flavicauda",-77.9071226,-5.598229972
216,"Lagothrix.flavicauda",-77.88606295,-5.769133455
217,"Lagothrix.flavicauda",-77.84692115,-5.623329243
218,"Lagothrix.flavicauda",-77.74651609,-5.862235881
219,"Lagothrix.flavicauda",-77.62456363,-5.818765031
220,"Lagothrix.flavicauda",-77.902111,-5.66525
221,"Lagothrix.flavicauda",-78.000417,-5.993917
222,"Lagothrix.flavicauda",-77.873194,-5.811028
223,"Lagothrix.flavicauda",-77.906194,-5.689139
224,"Lagothrix.flavicauda",-77.980639,-5.909806
225,"Lagothrix.flavicauda",-77.732778,-5.977861
226,"Lagothrix.flavicauda",-77.9,-5.575667
227,"Lagothrix.flavicauda",-77.081139,-6.361667
228,"Lagothrix.flavicauda",-77.888278,-6.039306
229,"Lagothrix.flavicauda",-77.786861,-5.795444
230,"Lagothrix.flavicauda",-78.265028,-5.669
231,"Lagothrix.flavicauda",-78.4125,-5.919083
232,"Lagothrix.flavicauda",-77.810722,-5.697861
233,"Lagothrix.flavicauda",-77.593917,-5.962083
234,"Lagothrix.flavicauda",-76.874972,-8.656389
235,"Lagothrix.flavicauda",-76.791111,-8.651778
236,"Lagothrix.flavicauda",-77.289528,-6.124583
237,"Lagothrix.flavicauda",-77.912667,-5.72825
238,"Lagothrix.flavicauda",-78.067833,-5.530667
239,"Lagothrix.flavicauda",-78.251,-5.641667
240,"Lagothrix.flavicauda",-77.519222,-6.342972
241,"Lagothrix.flavicauda",-76.696,-8.613333
242,"Lagothrix.flavicauda",-77.141167,-8.11725
243,"Lagothrix.flavicauda",-77.746528,-5.668
244,"Lagothrix.flavicauda",-77.764528,-5.671806
245,"Lagothrix.flavicauda",-77.184722,-8.141889
246,"Lagothrix.flavicauda",-77.454139,-7.351528
247,"Lagothrix.flavicauda",-77.739944,-5.923917
248,"Lagothrix.flavicauda",-76.751333,-8.38075
249,"Lagothrix.flavicauda",-76.718639,-8.411306
250,"Lagothrix.flavicauda",-77.096194,-6.451861
251,"Lagothrix.flavicauda",-77.387556,-5.894694
252,"Lagothrix.flavicauda",-77.460972,-7.320639
253,"Lagothrix.flavicauda",-77.3,-8.28
254,"Lagothrix.flavicauda",-78.06783333,-5.064
255,"Lagothrix.flavicauda",-77.67236111,-6.724916667
256,"Lagothrix.flavicauda",-76.62575,-8.492083333
257,"Lagothrix.flavicauda",-76.84869444,-8.379805556
258,"Lagothrix.flavicauda",-77.61438889,-6.846805556
259,"Lagothrix.flavicauda",-77.65805556,-6.716555556
260,"Lagothrix.flavicauda",-77.40547222,-6.44075
261,"Lagothrix.flavicauda",-76.3236612,-8.925323388
262,"Lagothrix.flavicauda",-74.7776503,-11.4135501
263,"Lagothrix.flavicauda",-75.67887732,-9.7577732
264,"Lagothrix.flavicauda",-75.67895787,-9.729971449
265,"Lagothrix.flavicauda",-77.67697222,-5.659611111
266,"Lagothrix.flavicauda",-76.65522263,-8.654093523
267,"Lagothrix.flavicauda",-76.62501133,-8.600876599
